"Name","Total Time","Total Time (CPU)","Hits"
"main","115,015 ms (-0%)","114,882 ms (-0%)","4"
" Main.main (String[])","114,862 ms (-0%)","114,862 ms (-0%)","1"
"  java.util.Scanner.nextInt ()","114,811 ms (-0%)","114,811 ms (-0%)","4"
"   java.util.Scanner.nextInt (int)","114,811 ms (-0%)","114,811 ms (-0%)","4"
"    java.util.Scanner.next (java.util.regex.Pattern)","114,800 ms (-0%)","114,800 ms (-0%)","4"
"     java.util.Scanner.readInput ()","114,800 ms (-0%)","114,800 ms (-0%)","4"
"      java.io.Reader.read (java.nio.CharBuffer)","114,800 ms (-0%)","114,800 ms (-0%)","4"
"       java.io.InputStreamReader.read (char[], int, int)","114,800 ms (-0%)","114,800 ms (-0%)","4"
"        sun.nio.cs.StreamDecoder.read (char[], int, int)","114,800 ms (-0%)","114,800 ms (-0%)","4"
"         sun.nio.cs.StreamDecoder.implRead (char[], int, int)","114,800 ms (-0%)","114,800 ms (-0%)","4"
"          sun.nio.cs.StreamDecoder.readBytes ()","114,800 ms (-0%)","114,800 ms (-0%)","4"
"           java.io.BufferedInputStream.read (byte[], int, int)","114,800 ms (-0%)","114,800 ms (-0%)","4"
"            java.io.BufferedInputStream.read1 (byte[], int, int)","114,800 ms (-0%)","114,800 ms (-0%)","4"
"             java.io.FileInputStream.read (byte[], int, int)","114,800 ms (-0%)","114,800 ms (-0%)","4"
"              java.io.FileInputStream.readBytes[native] (byte[], int, int)","114,800 ms (-0%)","114,800 ms (-0%)","4"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","4"
"    java.util.Scanner.integerPattern ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"     sun.misc.LRUCache.forName (Object)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"      java.util.Scanner$1.create (Object)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"       java.util.Scanner$1.create (String)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"        java.util.regex.Pattern.compile (String)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"         java.util.regex.Pattern.<init> (String, int)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"          java.util.regex.Pattern.compile ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"           java.util.regex.Pattern.expr (java.util.regex.Pattern.Node)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"            java.util.regex.Pattern.sequence (java.util.regex.Pattern.Node)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"             java.util.regex.Pattern.group0 ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"              java.util.regex.Pattern.expr (java.util.regex.Pattern.Node)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"               java.util.regex.Pattern.sequence (java.util.regex.Pattern.Node)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"                java.util.regex.Pattern.group0 ()","10.0 ms (-0%)","10.0 ms (-0%)","1"
"                 java.util.regex.Pattern.expr (java.util.regex.Pattern.Node)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"                  java.util.regex.Pattern.sequence (java.util.regex.Pattern.Node)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"                   java.util.regex.Pattern.clazz (boolean)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"                    java.util.regex.Pattern.range (java.util.regex.Pattern.BitClass)","10.0 ms (-0%)","10.0 ms (-0%)","1"
"                    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                 Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"                Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"               Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"              Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"             Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"            Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"           Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"          Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"         Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
